Gene,Mutation_Type,Mutation_Location,Mean_WT_mRNA,Mean_Mut_mRNA,mRNA_Diff,Mean_WT_Protein,Mean_Mut_Protein,Protein_Diff,Mean_WT_Viability,Mean_Mut_Viability,Viability_Diff
Cairn3a2,substitution,promoter,25.366828047879526,25.749748633721612,0.3829205858420863,28437.666666666668,28449.666666666668,12.0,0.7029357332329719,0.7757471989996437,0.07281146576667186
Cairn6,substitution,promoter,1757.1505965024628,1757.4136745990982,0.2630780966353541,36524.333333333336,36537.666666666664,13.333333333328483,0.8421721588186045,0.8627529112431986,0.020580752424594118
Clach6,substitution,promoter,8.647070565284041,7.966944749125272,-0.6801258161587693,20376.0,20384.666666666668,8.66666666666788,0.7895585905583561,0.8306113341842725,0.04105274362591638
Daz2b7,substitution,promoter,80.60128286043484,81.3464453542509,0.7451624938160677,30539.666666666668,30548.333333333332,8.666666666664241,0.5805306391826647,0.7514254878568241,0.17089484867415938
Dsgt9a1,insertion,coding,37.90931512172678,41.67820973960523,3.768894617878452,19030.333333333332,36188.666666666664,17158.333333333332,0.3042028135521222,0.0,-0.3042028135521222
Emco9b6,insertion,promoter,1173.4317421179278,1173.9866623535804,0.5549202356526166,29615.0,29624.0,9.0,0.4981842268585761,0.483841816625489,-0.014342410233087133
Euk4r4,insertion,promoter,30.930391617793116,30.93646897584254,0.00607735804942422,23740.333333333332,23746.333333333332,6.0,0.5452422046582086,0.6809831114674195,0.13574090680921092
Ever6b6,deletion,promoter,1059454.3295855909,1059453.5159486467,-0.8136369441635907,19785.666666666668,19795.0,9.33333333333212,0.23295144717238883,0.3655721407215122,0.13262069354912334
Everr1,insertion,promoter,195.39090451245468,195.4727210831439,0.08181657068922732,12922.0,12928.666666666666,6.66666666666606,0.5578758974904469,0.6667452452774468,0.10886934778699997
Fab6l6,insertion,promoter,3350.5800170089315,3351.518096696347,0.9380796874156658,32555.0,32560.666666666668,5.666666666667879,0.25329183722703946,0.290153432212572,0.03686159498553254
Fab9r3,substitution,promoter,30.274670603976563,29.35462008680534,-0.920050517171223,12873.666666666666,12884.0,10.33333333333394,0.6701507750005681,0.6689847602386391,-0.0011660147619290129
Ghos8,substitution,promoter,13.965096446357927,13.528281709874454,-0.43681473648347335,5061.0,5069.0,8.0,0.1796030382127204,0.07067803378880834,-0.10892500442391205
Gorm6b6,substitution,promoter,165.18471052195812,165.73373125378342,0.5490207318252942,25620.0,25633.0,13.0,0.4599087330068108,0.4855374454922015,0.025628712485390726
Got9,insertion,promoter,60.009924610296316,60.209087867824245,0.1991632575279283,32568.333333333332,32580.333333333332,12.0,0.6741499177478305,0.6965975986934302,0.02244768094559968
Ist3,deletion,promoter,8.10119753359337,8.773715072559716,0.6725175389663463,22426.333333333332,22439.666666666668,13.333333333335759,0.46317117977350336,0.4508908518528016,-0.012280327920701772
Ist9a2,deletion,promoter,5010.362712154928,2.242457186403336e-05,-5010.362689730356,23.961962884951735,0.00019085646267003332,-23.961772028489065,0.5343421468934252,5.048818695660605,4.51447654876718
Ist9a7,substitution,promoter,103.28664973397274,103.41012105086675,0.1234713168940118,16761.0,16774.666666666668,13.66666666666788,0.4823680233383471,0.44887357014288454,-0.03349445319546257
Ist9a,deletion,promoter,67.45984601845859,66.76541082206843,-0.6944351963901596,45162.333333333336,45173.0,10.666666666664241,0.37812896460943984,0.42446567507676763,0.04633671046732779
Jams9r2,deletion,promoter,730.6009589797785,731.6608511372501,1.0598921574716087,13401.0,13413.333333333334,12.33333333333394,0.5674063357195821,0.5851262786921826,0.01771994297260049
Jok4a3,substitution,promoter,2.209348054946537,3.786969029785206,1.577620974838669,16793.0,16800.0,7.0,0.6838461421005161,0.6905716759395827,0.0067255338390666
Jtkir5r8,deletion,promoter,5.635930987536695,5.455475102044299,-0.1804558854923961,13890.333333333334,13902.333333333334,12.0,0.4409597406527655,0.3948413419562112,-0.04611839869655432
Jtkir8l4,insertion,promoter,4.9048984584841335,5.997279560324348,1.092381101840214,31776.333333333332,31790.333333333332,14.0,0.9335950326521384,0.8931700785127279,-0.040424954139410496
K2,substitution,promoter,32.06965313925952,32.14680720672506,0.07715406746553555,30995.666666666668,31005.0,9.33333333333212,0.6148691843170538,0.5465653310929981,-0.06830385322405574
K7c7,deletion,promoter,38.04866605953472,37.438802307419444,-0.6098637521152739,27918.0,27929.0,11.0,0.7136096962552257,0.6847811368105546,-0.02882855944467111
Kl8,substitution,promoter,11.309631233535816,11.143246875742415,-0.166384357793401,34750.333333333336,34758.666666666664,8.333333333328483,0.5744683791417465,0.5893613241904836,0.01489294504873706
Mdor8,deletion,promoter,29743.298585958746,29744.58272427523,1.2841383164850413,28294.0,28303.333333333332,9.33333333333212,0.3818085675586995,0.30208751529390127,-0.07972105226479825
Nect1c1,deletion,promoter,9.64529993085342,8.901432584634732,-0.7438673462186891,30209.666666666668,13595.666666666666,-16614.0,0.30031825421437025,4.737217021441072,4.436898767226702
Nect5r3,deletion,promoter,42.01319350505776,42.23708472268839,0.22389121763063002,36049.0,36054.666666666664,5.666666666664241,0.3752802801617581,0.3682975719045154,-0.006982708257242676
Oyu3a9,deletion,promoter,13830.139805753368,0.00016238323030736668,-13830.139643370137,896.5250415815062,0.00014156287451360001,-896.5249000186317,0.38392812580115304,0.0,-0.38392812580115304
Pear4r9,substitution,promoter,8.31221717441372,8.001054858543261,-0.3111623158704582,27010.0,27014.666666666668,4.666666666667879,0.704167584307749,0.7950298705858004,0.09086228627805149
Pear9a7,insertion,promoter,7.575209905022228,7.689960261929215,0.11475035690698743,19562.333333333332,19574.666666666668,12.333333333335759,0.7022784073558245,0.7070399761147949,0.00476156875897038
Peara8,substitution,promoter,13.407241320777864,13.26176147525968,-0.14547984551818338,38110.0,38117.666666666664,7.666666666664241,0.3139323939647461,0.25201860590298447,-0.06191378806176162
Polge8,substitution,promoter,5.328858814493608,5.147879401358639,-0.18097941313496868,32860.666666666664,32869.0,8.333333333335759,0.27673878695904824,0.2727946677611206,-0.003944119197927642
Ren8,deletion,promoter,36.49744819780901,36.59434671065958,0.09689851285057216,32755.333333333332,32765.0,9.66666666666788,0.6375476322388943,0.6522037825957622,0.014656150356867848
Thxr,substitution,promoter,143.0100604388407,143.58440569933285,0.5743452604921515,40979.666666666664,40987.333333333336,7.666666666671517,0.6692433888004278,0.6773566425692822,0.008113253768854412
Try3a8,substitution,promoter,297848.8893859734,297849.12452264363,0.23513667023507878,25594.333333333332,25604.333333333332,10.0,0.5984957401150003,0.5828791568527686,-0.015616583262231698
Urna4r5,deletion,promoter,896.79046601269,897.0422205695577,0.2517545568676951,28191.0,28202.0,11.0,0.7836091970326166,0.7712403766849224,-0.012368820347694154
Urna8,deletion,promoter,6.249324190534566,5.893432069760195,-0.3558921207743708,32103.0,32113.666666666668,10.66666666666788,0.44298414443613754,0.37543480632299603,-0.06754933811314151
